CONCEPTO DE GASTO,SECCIÓN,ENTIDAD O ASIGNACIÓN,Valor,Subconcepto,Concepto,Subsubconcepto,SECCIÓN_2,Categoría,codigo_alt,Entidad,Tipo entidad,CodigoDANEEntidad,pop,Valor_pc,codigo_alt_dep,Departamento
ADMINISTRACIÓN DEL SISTEMA GENERAL DE REGALÍAS,FU043,"FUNCIONAMIENTO, OPERATIVIDAD Y ADMINISTRACIÓN DEL SISTEMA Y EVALUACIÓN Y MONITOREO DEL LICENCIAMIENTO AMBIENTAL  A LOS PROYECTOS DE EXPLORACIÓN Y EXPLOTACIÓN",175272999617,Otros,Otros,Administración del sistema general de regalías,FU043,,,"Funcionamiento, operatividad y administración del sistema y evaluación y monitoreo del licenciamiento ambiental  a los proyectos de exploración y explotación",Otro,,,,,
ADMINISTRACIÓN DEL SISTEMA GENERAL DE REGALÍAS,FU044,FISCALIZACIÓN DE LA EXPLORACIÓN Y EXPLOTACIÓN DE LOS YACIMIENTOS  Y CONOCIMIENTO Y CARTOGRAFÍA DEL SUBSUELO E INCENTIVO A LA EXPLORACIÓN Y A LA PRODUCCIÓN,270762453577,Otros,Otros,Administración del sistema general de regalías,FU044,,,Fiscalización de la exploración y explotación de los yacimientos  y conocimiento y cartografía del subsuelo e incentivo a la exploración y a la producción,Otro,,,,,
"SISTEMA DE SEGUIMIENTO, EVALUACIÓN Y CONTROL (SSEC)",MO001,"SISTEMA DE SEGUIMIENTO, EVALUACIÓN Y CONTROL - DEPARTAMENTO NACIONAL DE PLANEACIÓN (DNP)",34066746097,Otros,Otros,"Sistema de seguimiento, evaluación y control (ssec)",MO001,,,"Sistema de seguimiento, evaluación y control - departamento nacional de planeación (dnp)",Otro,,,,,
"SISTEMA DE SEGUIMIENTO, EVALUACIÓN Y CONTROL (SSEC)",MO002,CONTRALORÍA GENERAL DE LA REPÚBLICA (CGR),113434414486,Otros,Otros,"Sistema de seguimiento, evaluación y control (ssec)",MO002,,,Contraloría general de la república (cgr),Otro,,,,,
"SISTEMA DE SEGUIMIENTO, EVALUACIÓN Y CONTROL (SSEC)",MO003,PROCURADURÍA GENERAL DE LA NACIÓN (PGN),21612360351,Otros,Otros,"Sistema de seguimiento, evaluación y control (ssec)",MO003,,,Procuraduría general de la nación (pgn),Otro,,,,,
ASIGNACIONES DIRECTAS (20% DEL SGR),05000,ANTIOQUIA                                         ,172539636765,Asignaciones directas,Inversión,Asignaciones directas (20% del sgr),5000,0.0,5000,Antioquia,Departamento,5000,6903721.0,24992.26674499158,5,Antioquia
ASIGNACIONES DIRECTAS (20% DEL SGR),05001,MEDELLÍN                                          ,0,Asignaciones directas,Inversión,Asignaciones directas (20% del sgr),5001,0.0,5001,Medellín,Municipio,5001,2616335.0,0.0,5,Antioquia
ASIGNACIONES DIRECTAS (20% DEL SGR),05002,ABEJORRAL                                         ,0,Asignaciones directas,Inversión,Asignaciones directas (20% del sgr),5002,6.0,5002,Abejorral,Municipio,5002,21468.0,0.0,5,Antioquia
ASIGNACIONES DIRECTAS (20% DEL SGR),05004,ABRIAQUÍ                                          ,0,Asignaciones directas,Inversión,Asignaciones directas (20% del sgr),5004,6.0,5004,Abriaquí,Municipio,5004,2855.0,0.0,5,Antioquia
ASIGNACIONES DIRECTAS (20% DEL SGR),05021,ALEJANDRÍA                                        ,0,Asignaciones directas,Inversión,Asignaciones directas (20% del sgr),5021,6.0,5021,Alejandría,Municipio,5021,4955.0,0.0,5,Antioquia
ASIGNACIONES DIRECTAS (20% DEL SGR),05030,AMAGÁ                                             ,636653491,Asignaciones directas,Inversión,Asignaciones directas (20% del sgr),5030,6.0,5030,Amagá,Municipio,5030,32412.0,19642.52409601382,5,Antioquia
